VILLE_3;CHAT;CHIEN;VILLE;VILLE_2;COORDONNEES;LON;LAT;CODE POSTAL;CODE INSEE
ABAINVILLE;14;60;Abainville;abainville;[5.5152472731734115, 48.53269824490723];5.515247273;48.53269824;55130;55001
ABANCOURT;55;269;Abancourt;abancourt;[1.769243745159315, 49.693054661105535];1.769243745;49.69305466;60220;60001
ABAUCOURT;5;11;Abaucourt;abaucourt;[6.265597125712518, 48.89284459163503];6.265597126;48.89284459;54610;54001
ABAUCOURT-HAUTECOURT;4;38;Abaucourt-Hautecourt;abaucourt hautecourt;[5.548688080428894, 49.19696065530365];5.54868808;49.19696066;55400;55002
ABBANS-DESSOUS;12;46;Abbans-Dessous;abbans dessous;[5.872868473369146, 47.13406687030251];5.872868473;47.13406687;25320;25001
ABBANS-DESSUS;17;55;Abbans-Dessus;abans dessus;[5.8862640828298005, 47.126996605681995];5.886264083;47.12699661;25440;25002
ABBARETZ;126;543;Abbaretz;abbaretz;[-1.4932726209368021, 47.55603848333499];-1.493272621;47.55603848;44170;44001
ABBECOURT;141;271;Abbecourt;abbecourt;[3.177082329271123, 49.59915186534408];3.177082329;49.59915187;2300;2001
ABBENANS;9;61;Abbenans;abbenans;[6.450601751123378, 47.49608792792638];6.450601751;47.49608793;25340;25003
ABBEVILLE;2304;4773;Abbeville;abbeville;[1.832091702071713, 50.10835829438975];1.832091702;50.10835829;80100;80001
ABBEVILLE-LA-RIVIERE;56;110;Abbéville-la-Rivière;abbeville la riviere;[2.191276793458694, 48.34374613840856];2.191276793;48.34374614;91150;91001
ABBEVILLE-LES-CONFLANS;46;40;Abbéville-lès-Conflans;abbeville les conflans;[5.844067803193362, 49.200269291234136];5.844067803;49.20026929;54800;54002
ABBEVILLERS;71;164;Abbévillers;abbevillers;[6.921621862256439, 47.42743919200197];6.921621862;47.42743919;25310;25004
ABEILHAN;261;281;Abeilhan;abeilhan;[3.29923508305508, 43.45750199050955];3.299235083;43.45750199;34290;34001
ABELCOURT;33;65;Abelcourt;abelcourt;[6.277745418886538, 47.79340142325009];6.277745419;47.79340142;70300;70001
ABERE;3;33;Abère;abere;[-0.174833109291286, 43.387095857594176];-0.174833109;43.38709586;64160;64002
ABERGEMENT-LA-RONCE;466;96;Abergement-la-Ronce;abergement la ronce;[5.3782642174302, 47.06496695929022];5.378264217;47.06496696;39500;39001
ABERGEMENT-LE-GRAND;8;11;Abergement-le-Grand;abergement le grand;[5.678534523644131, 46.914286498822825];5.678534524;46.9142865;39600;39002
ABERGEMENT-LE-PETIT;4;11;Abergement-le-Petit;abergement le petit;[5.696636023235759, 46.906561832023996];5.696636023;46.90656183;39800;39003
ABERGEMENT-LES-THESY;2;10;Abergement-lès-Thésy;abergement les thesy;[5.945698392952651, 46.9134980198731];5.945698393;46.91349802;39110;39004
ABIDOS;4;44;Abidos;abidos;[-0.628336499241076, 43.39519507481394];-0.628336499;43.39519507;64150;64003
ABILLY;81;206;Abilly;abilly;[0.7347872964509751, 46.94112442349674];0.734787296;46.94112442;37160;37001
ABITAIN;4;25;Abitain;abitain;[-0.9980902323099171, 43.417338621407524];-0.998090232;43.41733862;64390;64004
ABJAT-SUR-BANDIAT;62;194;Abjat-sur-Bandiat;abjat bandiat;[0.759998823063447, 45.58176574153229];0.759998823;45.58176574;24300;24001
ABLAINCOURT-PRESSOIR;12;67;Ablaincourt-Pressoir;abalaincourt pressoir;[2.824810589205364, 49.84131956230459];2.824810589;49.84131956;80320;80002
ABLAIN-SAINT-NAZAIRE;253;292;Ablain-Saint-Nazaire;ablain saint nazaire;[2.697251633440468, 50.3965609083854];2.697251633;50.39656091;62153;62001
ABLAINZEVELLE;20;29;Ablainzevelle;ablainzevelle;[2.741473610956832, 50.15365955201303];2.741473611;50.15365955;62116;62002
ABLANCOURT;20;33;Ablancourt;ablancourt;[4.530848437906732, 48.81034176364012];4.530848438;48.81034176;51240;51001
ABLEIGES;129;181;Ableiges;ableiges;[1.974865245879408, 49.085772994013176];1.974865246;49.08577299;95450;95002
ABLIS;395;1259;Ablis;ablis;[1.850964994211878, 48.52832577073153];1.850964994;48.52832577;78660;78003
ABLON;124;269;Ablon;ablon;[0.28676764858353304, 49.394250611216336];0.286767649;49.39425061;14600;14001
ABLON-SUR-SEINE;429;388;Ablon-sur-Seine;ablon sur seine;[2.421176293477383, 48.723840946433995];2.421176293;48.72384095;94480;94001
ABOEN;27;95;Aboën;aboen;[4.127254381716598, 45.41271354599268];4.127254382;45.41271355;42380;42001
ABONCOURT;16;74;Aboncourt;aboncourt;[6.354164558359265, 49.25651586480697];6.354164558;49.25651586;57920;57001
ABONCOURT-GESINCOURT;8;77;Aboncourt-Gesincourt;aboncourt gesincourt;[5.972573322247964, 47.768356256948856];5.972573322;47.76835626;70500;70002
ABONCOURT-SUR-SEILLE;0;1;;aboucourt sur seille;[6.35583662298126, 48.81866796571798];6.355836623;48.81866797;57590;57002
ABONDANCE;74;171;Abondance;abondance;[6.73216205379958, 46.26610808156254];6.732162054;46.26610808;74360;74001
ABONDANT;267;747;Abondant;abondant;[1.4200111706160872, 48.79505703098854];1.420011171;48.79505703;28410;28001
ABOS;31;73;Abos;abos;[-0.550692004111978, 43.35387421346788];-0.550692004;43.35387421;64360;64005
ABRESCHVILLER;72;228;Abreschviller;abreschviller;[7.155766860527485, 48.6015720299811];7.155766861;48.60157203;57560;57003
ABRIES;11;82;;abries;[6.941644428085905, 44.816346245471394];6.941644428;44.81634625;5460;5001
ABSCON;153;770;Abscon;abscon;[3.297875869692261, 50.328341084354385];3.29787587;50.32834108;59215;59002
ABZAC;291;1261;Abzac;abzac;[-0.13017980667804802, 45.0106457764429];-0.130179807;45.01064578;33230;33001
ACCOLANS;6;14;Accolans;accolans;[6.534135615810079, 47.49062361791219];6.534135616;47.49062362;25250;25005
ACCOLAY;72;107;;accolay;[3.705167674522937, 47.65621620481278];3.705167675;47.6562162;89460;89001
ACCONS;0;88;Accons;accons;[4.39242968382262, 44.88853282129632];4.392429684;44.88853282;7160;7001
ACCOUS;19;118;Accous;accous;[-0.579066514702411, 42.93980808362479];-0.579066515;42.93980808;64490;64006
ACHAIN;6;5;Achain;achain;[6.590308508484383, 48.915824570372315];6.590308508;48.91582457;57340;57004
ACHENHEIM;250;181;Achenheim;achenheim;[7.625406052973432, 48.58046230999777];7.625406053;48.58046231;67204;67001
ACHERES;1455;1450;Achères;acheres;[2.458777864336031, 47.282653437221235];2.458777864;47.28265344;18250;18001
ACHERES-LA-FORET;198;484;Achères-la-Forêt;acheres la foret;[2.564566866760079, 48.34852856104982];2.564566867;48.34852856;77760;77001
ACHERY;29;242;Achery;achery;[3.397356321483207, 49.69361877905542];3.397356321;49.69361878;2800;2002
ACHEUX-EN-AMIENOIS;33;152;Acheux-en-Amiénois;acheux en amenois;[2.5311777710640593, 50.071556139487235];2.531177771;50.07155614;80560;80003
ACHEUX-EN-VIMEU;30;332;Acheux-en-Vimeu;acheux en vimeu;[1.6702720586354012, 50.06603664232456];1.670272059;50.06603664;80210;80004
ACHEVILLE;58;86;Acheville;acheville;[2.882039154820203, 50.384380304722825];2.882039155;50.3843803;62320;62003
ACHEY;5;10;Achey;achey;[5.6074547637141094, 47.57700702890746];5.607454764;47.57700703;70180;70003
ACHICOURT;861;1194;Achicourt;achicourt;[2.756146342714149, 50.27228312804875];2.756146343;50.27228313;62217;62004
ACHIET-LE-GRAND;44;223;Achiet-le-Grand;achiel le grand;[2.779099639165244, 50.13246954833392];2.779099639;50.13246955;62121;62005
ACHIET-LE-PETIT;30;104;Achiet-le-Petit;achiet le petit;[2.7552096399039083, 50.125639588779315];2.75520964;50.12563959;62121;62006
ACHUN;14;38;Achun;achun;[3.664187823766602, 47.129684778448755];3.664187824;47.12968478;58110;58001
ACHY;27;74;Achy;achy;[1.971857663683306, 49.55622116330936];1.971857664;49.55622116;60690;60004
ACIGNE;678;540;Acigné;acigne;[-1.518797621124706, 48.146400861732964];-1.518797621;48.14640086;35690;35001
ACLOU;33;66;Aclou;aclou;[0.6982938410655991, 49.165554642558156];0.698293841;49.16555464;27800;27001
ACON;52;105;Acon;acon;[1.104924667571917, 48.76945785444013];1.104924668;48.76945785;27570;27002
ACOUA;0;1;Acoua;acoua;[45.068706725751845, -12.72389137375464];45.06870673;-12.72389137;97630;97601
ACQ;47;127;Acq;acq;[2.655035279812759, 50.34940494658639];2.65503528;50.34940495;62144;62007
ACQUEVILLE;129;333;Hacqueville;acqueville;[-0.37056978792335005, 48.970772334773784];-0.370569788;48.97077233;14220;14002
ACQUIGNY;209;544;Acquigny;acquigny;[1.176558174303106, 49.164871739363974];1.176558174;49.16487174;27400;27003
ACY;65;128;Acy;acy;[3.418176098339781, 49.34719635336996];3.418176098;49.34719635;2200;2003
