VILLE_3;CHAT;CHIEN;VILLE;VILLE_2;COORDONNEES;LON;LAT;CODE POSTAL;CODE INSEE
ABAINVILLE;21;53;Abainville;abainville;[5.5152472731734115, 48.53269824490723];5.515247273;48.53269824;55130;55001
ABANCOURT;53;269;Abancourt;abancourt;[1.769243745159315, 49.693054661105535];1.769243745;49.69305466;60220;60001
ABAUCOURT;5;12;Abaucourt;abaucourt;[6.265597125712518, 48.89284459163503];6.265597126;48.89284459;54610;54001
ABAUCOURT-HAUTECOURT;5;39;Abaucourt-Hautecourt;abaucourt hautecourt;[5.548688080428894, 49.19696065530365];5.54868808;49.19696066;55400;55002
ABBANS-DESSOUS;12;51;Abbans-Dessous;abbans dessous;[5.872868473369146, 47.13406687030251];5.872868473;47.13406687;25320;25001
ABBANS-DESSUS;19;60;Abbans-Dessus;abans dessus;[5.8862640828298005, 47.126996605681995];5.886264083;47.12699661;25440;25002
ABBARETZ;138;544;Abbaretz;abbaretz;[-1.4932726209368021, 47.55603848333499];-1.493272621;47.55603848;44170;44001
ABBECOURT;151;286;Abbecourt;abbecourt;[3.177082329271123, 49.59915186534408];3.177082329;49.59915187;2300;2001
ABBENANS;7;63;Abbenans;abbenans;[6.450601751123378, 47.49608792792638];6.450601751;47.49608793;25340;25003
ABBEVILLE;2423;4707;Abbeville;abbeville;[1.832091702071713, 50.10835829438975];1.832091702;50.10835829;80100;80001
ABBEVILLE-LA-RIVIERE;59;115;Abbéville-la-Rivière;abbeville la riviere;[2.191276793458694, 48.34374613840856];2.191276793;48.34374614;91150;91001
ABBEVILLE-LES-CONFLANS;45;40;Abbéville-lès-Conflans;abbeville les conflans;[5.844067803193362, 49.200269291234136];5.844067803;49.20026929;54800;54002
ABBEVILLERS;76;180;Abbévillers;abbevillers;[6.921621862256439, 47.42743919200197];6.921621862;47.42743919;25310;25004
ABEILHAN;309;300;Abeilhan;abeilhan;[3.29923508305508, 43.45750199050955];3.299235083;43.45750199;34290;34001
ABELCOURT;35;64;Abelcourt;abelcourt;[6.277745418886538, 47.79340142325009];6.277745419;47.79340142;70300;70001
ABERE;5;38;Abère;abere;[-0.174833109291286, 43.387095857594176];-0.174833109;43.38709586;64160;64002
ABERGEMENT-LA-RONCE;458;108;Abergement-la-Ronce;abergement la ronce;[5.3782642174302, 47.06496695929022];5.378264217;47.06496696;39500;39001
ABERGEMENT-LE-GRAND;8;12;Abergement-le-Grand;abergement le grand;[5.678534523644131, 46.914286498822825];5.678534524;46.9142865;39600;39002
ABERGEMENT-LE-PETIT;7;8;Abergement-le-Petit;abergement le petit;[5.696636023235759, 46.906561832023996];5.696636023;46.90656183;39800;39003
