VILLE_3;CHAT;CHIEN;VILLE;VILLE_2;COORDONNEES;LON;LAT;CODE POSTAL;CODE INSEE
FONBEAUZARD;0;1;Fonbeauzard;fontbeauzard;[1.434921327553408, 43.679821127830905];1.434921328;43.67982113;31140;31186
FONCHES-FONCHETTE;0;54;Fonches-Fonchette;fonche fonchette;[2.82157926222878, 49.776110737887116];2.821579262;49.77611074;80700;80322
FONCINE-LE-BAS;36;0;Foncine-le-Bas;foncine le bas;[6.030472421895132, 46.63230965731129];6.030472422;46.63230966;39520;39227
FONCQUEVILLERS;1;0;Foncquevillers;foncquevillers;[2.6226933551940723, 50.14563463133437];2.622693355;50.14563463;62111;62341
FONDAMENTE;0;166;Fondamente;fondamente;[3.114687109732711, 43.86175339255735];3.11468711;43.86175339;12540;12155
FONDETTES;1351;5;Fondettes;fondettes;[0.603284318044884, 47.41110124844313];0.603284318;47.41110125;37230;37109
FONDS-SAINT-DENIS;0;19;Fonds-Saint-Denis;fonds saint denis;[-61.11507460905929, 14.72602916355806];-61.11507461;14.72602916;97250;97208
FONGRAVE;39;175;Fongrave;fongrave;[0.5298082857620421, 44.40500583251989];0.529808286;44.40500583;47260;47099
FONS;1;104;Fons;fons;[1.9530741182026992, 44.659755860057096];1.953074118;44.65975586;46100;46108
FONSORBES;1;1648;Fonsorbes;fonsorbes;[1.23863670585457, 43.531769574331264];1.238636706;43.53176957;31470;31187
FONT-ROMEU-ODEILLO-VIA;1;1;Font-Romeu-Odeillo-Via;font romeu   odeillo   via;[2.02697700092621, 42.513242501004804];2.026977001;42.5132425;66120;66124
FONTAIN;0;195;Fontain;fontain;[6.038853449562458, 47.19236420641604];6.03885345;47.19236421;25660;25245
FONTAINE;105;2;Fontaine;fontaine;[5.677630665417527, 45.19305024859499];5.677630665;45.19305025;38600;38169
FONTAINE-AU-BOIS;89;3;Fontaine-au-Bois;fontaine au bois;[3.642505793719066, 50.13637494847247];3.642505794;50.13637495;59550;59242
FONTAINE-AU-PIRE;2;1;Fontaine-au-Pire;fontaine au pire;[3.366739581134954, 50.127252452016926];3.366739581;50.12725245;59157;59243
FONTAINE-BELLENGER;9;216;Fontaine-Bellenger;fontaine bellanger;[1.253030573195838, 49.18022801685368];1.253030573;49.18022802;27600;27249
FONTAINE-CHAALIS;0;2;Fontaine-Chaalis;fontaine chaalis;[2.660511259179397, 49.15470738181299];2.660511259;49.15470738;60300;60241
